,zip_code,CBSA Title,MSA_central_outlying,pct_black_alone,pop_black_alone,pct_below_poverty,pct_below_poverty_white_alone,pct_below_poverty_black_alone,pct_below_poverty_asian_alone,pct_below_poverty_hispanic,quartiles_pct_below_poverty,pct_change_16_to_21_pct_below_poverty_black_alone,pct_homeownership,pct_homeownership_white_alone,pct_homeownership_black_alone,pct_homeownership_asian_alone,pct_homeownership_hispanic,quartiles_pct_homeownership,pct_change_16_to_21_pct_homeownership_black_alone,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt,pct_hh_with_broadband_internet_subscriptions,pct_hh_with_broadband_internet_subscriptions_white_alone,pct_hh_with_broadband_internet_subscriptions_black_alone,pct_hh_with_broadband_internet_subscriptions_asian_alone,pct_hh_with_broadband_internet_subscriptions_hispanic,quartiles_pct_hh_with_broadband_internet_subscriptions,pct_bach_degree_or_higher_white_alone,pct_bach_degree_or_higher_black_alone,pct_bach_degree_or_higher_asian_alone,pct_bach_degree_or_higher_hispanic,quartiles_pct_bach_degree_or_higher_white_alone,quartiles_pct_bach_degree_or_higher_black_alone,quartiles_pct_bach_degree_or_higher_asian_alone,quartiles_pct_bach_degree_or_higher_hispanic
474,38235,,Outlying,23.6,43.0,11.5,16.9,0.0,,,51-75% of geographies,0.0,65.9,61.4,100.0,,,Bottom 25% of geographies,2.8,12.0,,2.0,10.0,2.0,,2.0,,,,,,,,,,,,,,234462.0,,18834.0,215628.0,18834.0,,18834.0,,,,,,,,,,,,,,93.4,91.1,100.0,,,51-75% of geographies,12.5,56.3,,,Bottom 25% of geographies,Top 25% of geographies,,
475,38236,"Paris, TN",Central,2.0,15.0,6.5,6.7,0.0,,,26-50% of geographies,-41.5,68.1,67.5,100.0,,,26-50% of geographies,0.6,22.0,,4.0,18.0,,,,,,,,,,,,,,,,,457298.0,,67984.0,389314.0,,,,,,,,,,,,,,,,,81.0,82.7,0.0,,,Bottom 25% of geographies,9.5,46.7,,,Bottom 25% of geographies,Top 25% of geographies,,
476,38237,"Martin, TN",Central,12.0,1818.0,22.9,21.7,33.0,0.0,16.2,Top 25% of geographies,-10.0,57.6,63.0,20.3,27.1,66.5,Bottom 25% of geographies,-11.2,804.0,64.0,88.0,652.0,60.0,22.0,38.0,,14.0,6.0,8.0,,10.0,2.0,8.0,,2.0,,2.0,,51145106.0,2841578.0,2479626.0,45823901.0,2036848.0,988682.0,1048166.0,,231460.0,101888.0,129572.0,,235160.0,7208.0,227952.0,,66600.0,,66600.0,,83.5,83.2,82.6,100.0,68.8,26-50% of geographies,28.2,21.0,36.7,9.1,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
477,38240,"Union City, TN",Central,3.3,69.0,19.5,19.6,24.6,0.0,27.2,Top 25% of geographies,-22.3,67.7,71.6,73.0,,0.0,26-50% of geographies,8.0,154.0,6.0,38.0,110.0,36.0,4.0,30.0,2.0,,,,,,,,,,,,,3879677.0,78834.0,718664.0,3082178.0,680168.0,64000.0,598948.0,17220.0,,,,,,,,,,,,,85.9,87.7,63.8,100.0,91.4,26-50% of geographies,11.9,27.0,100.0,0.0,Bottom 25% of geographies,51-75% of geographies,Top 25% of geographies,Bottom 25% of geographies
478,38241,"Martin, TN",Central,0.0,0.0,16.4,16.4,,,16.0,51-75% of geographies,,84.0,84.0,,,,51-75% of geographies,,50.0,,12.0,38.0,10.0,,10.0,,,,,,,,,,,,,,969518.0,,410420.0,559098.0,368754.0,,368754.0,,,,,,,,,,,,,,74.1,73.4,,,100.0,Bottom 25% of geographies,13.5,,,100.0,Bottom 25% of geographies,,,Top 25% of geographies
479,38242,"Paris, TN",Central,10.6,2139.0,21.4,18.9,39.0,1.3,27.8,Top 25% of geographies,1.3,71.7,73.6,55.6,,61.4,26-50% of geographies,-3.9,1460.0,100.0,194.0,1166.0,172.0,62.0,98.0,12.0,10.0,2.0,8.0,,2.0,,,2.0,8.0,,6.0,2.0,95986607.0,6885451.0,21007896.0,68093258.0,9655997.0,2425262.0,6630207.0,600526.0,171872.0,41664.0,130208.0,,179800.0,,,179800.0,151180.0,,103386.0,47794.0,81.7,83.5,67.5,100.0,90.8,26-50% of geographies,20.5,4.8,0.0,24.4,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies,51-75% of geographies
480,38251,"Paris, TN",Central,3.5,109.0,18.2,16.8,39.4,29.2,45.2,Top 25% of geographies,25.9,82.3,81.5,100.0,,100.0,51-75% of geographies,23.7,242.0,,44.0,198.0,26.0,,26.0,,,,,,,,,,,,,,6406037.0,,719439.0,5686598.0,323685.0,,323685.0,,,,,,,,,,,,,,86.1,87.9,65.7,70.8,68.7,26-50% of geographies,16.5,16.9,29.2,4.0,26-50% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
481,38253,"Union City, TN",Central,2.8,29.0,14.3,14.5,6.9,,36.4,51-75% of geographies,6.9,69.8,70.2,69.8,,71.6,26-50% of geographies,-29.8,54.0,,10.0,44.0,10.0,,10.0,,,,,,,,,,,,,,1063006.0,,225650.0,837356.0,225650.0,,225650.0,,,,,,,,,,,,,,85.8,83.7,82.8,,100.0,26-50% of geographies,25.2,17.2,,30.2,51-75% of geographies,51-75% of geographies,,51-75% of geographies
482,38254,,Outlying,,0.0,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,72434.0,,,72434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,38255,"Martin, TN",Central,4.7,120.0,16.1,15.4,40.0,0.0,0.0,51-75% of geographies,25.5,65.7,65.6,48.8,98.6,,Bottom 25% of geographies,-33.7,116.0,4.0,12.0,100.0,8.0,2.0,6.0,,,,,,,,,,,,,,2761738.0,9658.0,190918.0,2561162.0,32802.0,5284.0,27518.0,,,,,,,,,,,,,,73.9,73.1,75.0,100.0,100.0,Bottom 25% of geographies,17.5,26.4,36.7,0.0,26-50% of geographies,51-75% of geographies,26-50% of geographies,Bottom 25% of geographies
